ID;Date;Title;French Title;URL (page or PDF);French URL;Spanish URL;Summary (optional);French Summary;Spanish Summary;Attachments URL (optional, if in addition to main text);;;;;;;;;;;;;;;
69;14.03.2012;The World Migratory Bird Day Team Presents the 2012 Website and Poster;;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_140312_wmbd_announcement.htm;;;;;;;;;;;;;;;;;;;;;
70;15.03.2012;CMS Small Grants Programme: 2012 Call for Applications;;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_150312_small_grants.htm;;;;;;;;;;;;;;;;;;;;;
71;30.03.2012;Almost 5,000 Saiga Antelope Horns Confiscated in Kazakhstan;;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_300312_saiga_horn.htm;;;;;;;;;;;;;;;;;;;;;
72;30.03.2012;World Migratory Bird Day 2012 Trailer Launched;Lancement de la bande-annonce pour la Journée Mondiale des Oiseaux Migrateurs 2012;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_300312_wmbd_trailer_e.htm;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_300312_wmbd_trailer_f.htm;http://old.cms.int/news/PRESS/nwPR2012/03_mar/nw_300312_wmbd_trailer_s.htm;;;;;;;;;;;;;;;;;;;
73;3.04.2012;COP10 Outcome: New Joint Work Programme Strengthens CMS-Ramsar Partnership;;http://old.cms.int/news/PRESS/nwPR2012/04_apr/nw_030412_ramsar_jwp.htm;;;;;;;;;;;;;;;;;;;;;
74;10.04.2012;Farewell to Nalanda (“Nalin”) Wijeratne;;http://old.cms.int/news/PRESS/nwPR2012/04_apr/nw_100412_nalin.htm;;;;;;;;;;;;;;;;;;;;;
75;17.04.2012;COP10 Outcome: Major Decision on Climate Change and Animal Migration Adopted;;http://old.cms.int/news/PRESS/nwPR2012/04_apr/nw_170412_cop_climate_change.htm;;;;;;;;;;;;;;;;;;;;;
76;3.05.2012;Year of the Bat steps up Information Campaign;;http://old.cms.int/news/PRESS/nwPR2012/05_may/nw_030512_yob.htm;;;;;;;;;;;;;;;;;;;;;
77;11.05.2012;Living Planet: Connected Planet;;http://old.cms.int/news/PRESS/nwPR2012/05_may/nw_100512_living_planet.htm;;;;;;;;;;;;;;;;;;;;;
78;14.05.2012;CMS and Ramsar Renew Partnership;;http://old.cms.int/news/PRESS/nwPR2012/05_may/nw_140512_ramsar_jwp.htm;;;;;;;;;;;;;;;;;;;;;
79;15.05.2012;AEWA MOP 5 Preparatory Workshop: Focus on the African Initiative;;http://old.cms.int/news/PRESS/nwPR2012/05_may/nw_150512_aewa_africa_ws.htm;;;;;;;;;;;;;;;;;;;;;
80;15.05.2012;CMS Congratulates Year of the Bat Ambassador Rodrigo Medellin on Whitley Award 2012;;http://old.cms.int/news/PRESS/nwPR2012/05_may/nw_150512_medellin_whitley.htm;;;;;;;;;;;;;;;;;;;;;
