48;1/27/2009;New Ramsar video on wetlands now available;;http://old.unep-aewa.org/news/news_elements/2009/ramsar_video.htm;;;;;;
49;3/2/09;Red-breasted Goose Conservation Workshop in Moscow;;http://old.unep-aewa.org/news/news_elements/2009/rb_goose_moscow.htm;;;;;;
50;5/14/2009;BirdLife International announces more Critically Endangered birds than ever before - the AEWA-listed Grey Crowned-crane uplisted to Vulnerable;;http://old.unep-aewa.org/news/news_elements/2009/red_list_grey_crown_crane.htm;;;;;;
51;3/23/2009;Delegation from the Russian Federation visits CMS Family in Bonn;Une d_l_gation de la F_d_ration de Russie rend visite ö la famille CMS ö Bonn;http://old.unep-aewa.org/news/news_elements/2009/russian_delegation_visit.htm;http://old.unep-aewa.org/news/news_elements/2009/russian_delegation_visit_fr.htm;;;;;
52;2/7/09;Quest to find the Slender-billed Curlew continues _ as speciesÍ Steering Group meets in Bonn;La recherche du Courlis ö bec grêle se poursuit _ r_union du Groupe de sp_cialistes de lÍespèce ö Bonn;http://old.unep-aewa.org/news/news_elements/2009/slender_billed_curlew_meeting_bonn_10feb2009.htm;http://old.unep-aewa.org/news/news_elements/2009/slender_billed_curlew_meeting_bonn_fr.htm;;;;;
53;8/6/09;Delegation from Turkmenistan visit the CMS and AEWA Secretariats;;http://old.unep-aewa.org/news/news_elements/2009/turkmenistan_delegation_visit.htm;;;;;;
54;5/12/09;Uganda Wetland Maps will help to reduce poverty and boost economy;;http://old.unep-aewa.org/news/news_elements/2009/uganda_maps.htm;;;;;;
55;4/18/2009;Ulcinj Declaration underlines the importance of the Adriatic Flyway;;http://old.unep-aewa.org/news/news_elements/2009/ulcinj_declaration.htm;;;;;;
56;10/26/2009;AEWA showcased at UN Day in Bonn;;http://old.unep-aewa.org/news/news_elements/2009/un_day_2009.htm;;;;;;
57;2/24/2009;Vacancy Announcement: Coordinator for the Lesser White-fronted Goose Single Species Action Plan;;http://old.unep-aewa.org/news/news_elements/2009/vacancy_lwfg.htm;;;;;;
58;6/26/2009;Wadden Sea listed as World Heritage Site;;http://old.unep-aewa.org/news/news_elements/2009/wadden_sea_world_heritage_site.htm;;;;;;
59;2/12/09;New waterbird population trends for the Wadden Sea;;http://old.unep-aewa.org/news/news_elements/2009/waddensea.htm;;;;;;
60;3/23/2009;The Wader Atlas - pre-publication offer now available;LÍAtlas des _chassiers _ lÍoffre pre-publication est maintenant disponible;http://old.unep-aewa.org/news/news_elements/2009/wader_atlas.htm;http://old.unep-aewa.org/news/news_elements/2009/wader_atlas_fr.htm;;;;;
61;6/5/09;5 June is World Environment Day - 'Your Planet Needs You-UNite to Combat Climate Change';;http://old.unep-aewa.org/news/news_elements/2009/wed2009.htm;;;;;;
62;3/23/2009;WATERBIRD CONSERVATION IN NORTH AFRICA GETS A BOOST;ÄLAN DANS LA CONSERVATION DES OISEAUX DÍEAU EN AFRIQUE DU NORD;http://old.unep-aewa.org/news/news_elements/2009/wetcap_press_release.htm;http://old.unep-aewa.org/press/press_release/wetcap_press_release_fr.pdf;;;;;
63;3/9/09;WetCap Project on Capacity Building in North Africa gets off the ground;;http://old.unep-aewa.org/news/news_elements/2009/wetcap.htm;;;;;;
64;12/14/2009;And the winners of the 2009 World Migratory Bird Day Drawing Competition areƒ;Et les laur_ats du concours de dessin organis_ par la Journ_e mondiale des oiseaux migrateurs 2009 sontƒ;http://old.unep-aewa.org/news/news_elements/2009/winners_2009.htm;http://old.unep-aewa.org/news/news_elements/2009/winners_2009_fr.htm;;;;;
65;8/17/2009;Children Highlight ñBarriers to Bird Migrationî in this YearÍs World Migratory Bird Day Painting Competition;;http://old.unep-aewa.org/news/news_elements/2009/wmbd_2009_painting_competition.htm;;;;;;
66;5/1/09;Just a few days to go - World Migratory Bird is approaching fast!;Just a few days to go - World Migratory Bird is approaching fast!;http://old.unep-aewa.org/news/news_elements/2009/wmbd2009_few_days.htm;http://old.unep-aewa.org/news/news_elements/2009/wmbd2009_few_days.htm;;;;;
67;5/8/09;Millions of birds killed worldwide by man-made barriers each year;;http://old.unep-aewa.org/news/news_elements/2009/wmbd2009_press_release.htm;;;;;;
68;3/14/2009;World Migratory Bird Day 2009 focuses on obstacles to migration;La Journ_e Mondiale des Oiseaux Migrateurs est consacr_e aux obstacles ö la migration;http://old.unep-aewa.org/news/news_elements/2009/wmbd2009.htm;http://old.unep-aewa.org/news/news_elements/2009/wmbd2009_fr.htm;;;;;
69;11/16/2009;Post-WOW flyway partnership agreement takes shape in Bonn;LÍAccord de partenariat pour une action commune par la voie de migration, qui fera suite au projet WOW, prend forme ö Bonn;http://old.unep-aewa.org/news/news_elements/2009/wow_flyway_partnership_agreement.htm;http://old.unep-aewa.org/news/news_elements/2009/wow_flyway_partnership_agreement_fr.htm;;;;;
70;2/2/09;2 February 2009 marks 12th World Wetlands Day!;;http://old.unep-aewa.org/news/news_elements/2009/wwd_2009.htm;;;;;;
71;9/3/10;1st World Seabird Conference to take place in Victoria, Canada: 7-11 September 2010;;http://old.unep-aewa.org/news/news_elements/2010/1st_seabird_conference_canada.htm;;;;;;
72;1/11/10;2010 International Year of Biodiversity launched in Berlin;;http://old.unep-aewa.org/news/news_elements/2010/2010_iyb_berlin.htm?DocumentID=606&ArticleID=6430&l=en&t=long;;;;;;
73;10/1/10;AEWA Small Grants Fund Programme (2010 Project Cycle);;http://old.unep-aewa.org/news/news_elements/2010/aewa_small_grants_fund_2010.htm;;;;;;
74;9/30/2010;African Penguin now Protected under U.S. Law;;http://old.unep-aewa.org/news/news_elements/2010/african_penguin_us_endangered_species_act.htm;;;;;;
75;8/1/10;The African Environmental Ministers call for strengthened collaboration with Multilateral Environmental Agreements!;;http://old.unep-aewa.org/news/news_elements/2010/amcen_13th_session.htm;;;;;;
76;3/22/2010;Arctic tern website highlights the worldÍs longest migration;;http://old.unep-aewa.org/news/news_elements/2010/artic_tern_migration_project.htm;;;;;;
77;1/14/2010;International Waterbird Census taking place around the world this month;;http://old.unep-aewa.org/news/news_elements/2010/iwc_waterbirds_counted.htm?DocumentID=606&ArticleID=6430&l=en&t=long;;;;;;
78;1/26/2010;Scotland and Northern Ireland take emergency measures to reduce disturbance to waterbirds during severe cold winter - UK hunting organisations call for extra voluntary restraint;;http://old.unep-aewa.org/news/news_elements/2010/legal_suspension_shooting_ducks.htm?DocumentID=606&ArticleID=6430&l=en&t=long;;;;;;
79;2/19/2010;National Action Plan for the Lesser Flamingo finalized in the Republic of Tanzania;;http://old.unep-aewa.org/news/news_elements/2010/lesser_flamingo_action_plan_tanzania.htm;;;;;;
80;3/22/2010;New EU LIFE+ proposal for the Lesser White-fronted Goose in the making;;http://old.unep-aewa.org/news/news_elements/2010/lwfg_eu_life_workshop.htm;;;;;;
81;2/18/2010;Over 70 Lesser White-fronted Geese spotted in Syria;;http://old.unep-aewa.org/news/news_elements/2010/lwfg_in_syria.htm;;;;;;
82;6/23/2010;Steps to protect globally threatened goose species taken in South-West Russia;;http://old.unep-aewa.org/news/news_elements/2010/meeting_sw_russia.htm;;;;;;
83;2/20/2010;New Memorandum of Cooperation on the conservation of the Sociable Lapwing established between ACBK and the UNEP/AEWA Secretariat;Nouveau m_morandum de coop_ration pour la conservation du Vanneau sociable entre l'ACBK et le Secr_tariat du PNUE/AEWA;http://old.unep-aewa.org/news/news_elements/2010/moc_sociable_lapwing.htm;http://old.unep-aewa.org/news/news_elements/2010/moc_sociable_lapwing_fr.htm;;;;;
84;2/14/2010;WWT and UNEP/AEWA Secretariat sign two Memoranda of Cooperation for the White-headed Duck and the Red-breasted Goose;Nouveau m_morandum de coop_ration pour la conservation du Vanneau sociable entre l'ACBK et le Secr_tariat du PNUE/AEWA;http://old.unep-aewa.org/news/news_elements/2010/moc_wwt.htm;http://old.unep-aewa.org/news/news_elements/2010/moc_wwt_fr.htm;;;;;
85;4/20/2010;Moscow workshop _ a further step towards promoting Russian accession to AEWA;Le Secr_tariat du PNUE/AEWA a organis_ un atelier de deux jours conjointement avec lÍ Institut national russe afin de promouvoir lÍ adh_sion de la F_d_ration russe ö lÍ Accord sur la conservation des oiseaux d'eau migrateurs d' Afrique-Eurasie (AEWA).;http://old.unep-aewa.org/news/news_elements/2010/moscow_workshop.htm;http://old.unep-aewa.org/news/news_elements/2010/moscow_workshop_fr.htm;;;;;
86;1/25/2010;New Programme Assistant joined the AEWA Secretariat;Une nouvelle Assistante de programme au Secr_tariat de lÍAEWA;http://old.unep-aewa.org/news/news_elements/2010/new_staff_member_birgit.htm?DocumentID=606&ArticleID=6430&l=en&t=long;http://old.unep-aewa.org/news/news_elements/2010/new_staff_member_birgit_fr.htm;;;;;
87;8/31/2010;Polar bears found preying on the eggs of Barnacle Geese on Svalbard;;http://old.unep-aewa.org/news/news_elements/2010/polar_bears_barnacle_geese_svalbard.htm;;;;;;
88;3/25/2010;IN MEMORIAM _ In memory of Professor Heribert Kalchreuter;;http://old.unep-aewa.org/news/news_elements/2010/herby_kalschreuter.htm;;;;;;
89;3/28/2013;In Focus: AEWA Conservation Guideline No. 7 - Guidelines on the Development of Ecotourism at Wetlands;Sous les projecteurs: Lignes directrices de conservation No 7 de lÍAEWA - Ligne directrice relatives au d_veloppement de lÍ_cotourisme dans les zones humides;http://old.unep-aewa.org/news/news_elements/2010/in_focus_cg7.htm;http://old.unep-aewa.org/news/news_elements/2010/in_focus_cg7_fr.htm;;;;;
90;2/23/2010;Report on the Ramsar Advisory Mission to Mozambique's only Ramsar Site now available;;http://old.unep-aewa.org/news/news_elements/2010/ramsar_mozambique.htm?DocumentID=612&ArticleID=6477&l=en&t=long;;;;;;
91;8/4/10;40 Years of Wetland Conservation _ Ramsar Launches 40th Anniversary Logo;;http://old.unep-aewa.org/news/news_elements/2010/ramsar40.htm;;;;;;
